Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
-0.8143538434500733,2.0,3.0,15.0,0,1,0,1,0,0
1.7430271543954228,3.0,8.0,22.0,0,1,0,1,0,0
-0.7865562239082744,2.5,3.25,20.0,0,0,1,1,0,0
-0.5363776480320845,3.0,4.0,14.0,0,1,0,1,0,0
0.07516998188749055,2.75,4.75,30.0,1,0,0,1,0,0
-0.5641752675738835,3.0,4.0,13.0,0,0,1,0,1,0
-0.5363776480320845,2.0,3.9375,18.0,0,1,0,1,0,0
0.35314617730547926,3.0,9.375,492.126,0,0,1,1,0,0
0.3531461217102402,3.0,5.125,28.0,1,0,0,1,0,0
0.5477295140980714,3.0,7.75,13.0,0,1,0,1,0,0
0.6311223727234679,3.0,6.0,20.0,0,1,0,1,0,0
2.8549319360673775,3.0,13.0,20.0,0,1,0,1,0,0
1.5206461980610317,4.0,11.0,13.0,0,1,0,1,0,0
0.6311223727234679,3.0,6.0,15.0,0,1,0,1,0,0
0.8813009485996578,3.0,4.5,14.0,0,1,0,1,0,0
-0.5363776480320845,3.0,3.5,15.0,0,1,0,1,0,0
-0.6197705066574812,3.0,2.5,14.0,0,1,0,1,0,0
1.9654081107298138,3.0,12.0,22.0,0,1,0,1,0,0
1.909812871646216,2.75,8.0,30.0,0,1,0,1,0,0
1.5762414371446296,3.0,17.0,14.0,0,1,0,0,1,0
1.9654081107298138,3.0,12.0,20.0,0,1,0,1,0,0
0.6311223727234679,3.0,6.0,15.0,0,1,0,1,0,0
1.7430271543954228,2.0,12.0,16.0,0,1,0,1,0,0
0.4643366554726747,4.0,6.0,20.0,0,1,0,1,0,0
-1.1479252779516598,1.35,3.5,10.0,0,0,1,0,1,0
-1.164603849676739,1.5,3.1875,10.0,0,0,1,0,1,0
-1.2591157561188553,1.5,2.5,16.0,0,0,1,0,1,0
-1.2035205170352574,1.5,3.0,13.0,0,0,1,0,1,0
-1.1757228974934586,1.5,3.8125,13.0,0,0,1,0,1,0
-0.8143538434500733,3.0,3.5,10.0,0,1,0,0,1,0
-1.2313181365770565,1.5,2.875,13.0,0,0,1,0,1,0
-1.0367347997844643,1.5,4.125,16.0,0,0,1,1,0,0
-1.2591157561188553,1.5,3.0,13.0,0,0,1,0,1,0
-0.5919728871156823,3.0,4.0,13.0,0,1,0,0,1,0
1.465050958977434,4.0,5.5,13.0,0,1,0,1,0,0
-0.45298478940668796,3.0,4.0,14.0,0,1,0,1,0,0
1.1870747635594454,2.0,7.0,14.0,0,1,0,1,0,0
-0.6364490783825605,2.75,3.25,0.0,0,0,1,0,0,1
1.1870747635594454,3.0,7.0,14.0,0,1,0,1,0,0
-0.45298478940668796,4.0,3.75,14.0,0,1,0,1,0,0
-0.3417943112394925,2.0,4.0,15.0,0,1,0,1,0,0
1.6318366762282273,2.0,10.0,16.0,0,1,0,1,0,0
0.047372362345691685,3.0,6.0,30.0,0,1,0,1,0,0
0.24195569913828377,2.0,9.0,16.0,0,1,0,1,0,0
-1.2035205170352574,1.5,5.25,4.0,0,0,1,1,0,0
-1.1757228974934586,1.0,3.0,13.0,0,0,1,0,0,1
-0.5641752675738835,3.0,3.75,13.0,0,0,1,1,0,0
